Species,MockCommunity,MinimumSeqQuality,Classifier,Database,F1_score,Recall,Precision
Candida_parapsilosis,Mock2,Qmin15,emu,GSD,0.996054313,0.999685732,0.992449181
Candida_tropicalis,Mock2,Qmin15,emu,GSD,0.998023281,0.996054362,1
Candida_zeylanoides,Mock2,Qmin15,emu,GSD,0.983368474,0.998661312,0.968536941
Cortinarius_globuliformis,Mock2,Qmin15,emu,GSD,0.919809448,0.86799807,0.978198779
Cryptococcus_gattii_VGI,Mock2,Qmin15,emu,GSD,0.958418795,0.920816912,0.999222395
Cryptococcus_neoformans_VNIII,Mock2,Qmin15,emu,GSD,0.984677062,0.989671708,0.979732576
Cryptovalsa_ampelina,Mock2,Qmin15,emu,GSD,0.999741802,0.999483738,1
Diaporthe_sp._CCL067,Mock2,Qmin15,emu,GSD,0.999243456,0.998488056,1
Diplodia_seriata,Mock2,Qmin15,emu,GSD,0.996265671,0.992559128,1
Entoleuca_sp._,Mock2,Qmin15,emu,GSD,0.993469743,0.987024221,1
Erysiphe_necator,Mock2,Qmin15,emu,GSD,0.976864399,0.954775103,1
Eutypa_lata,Mock2,Qmin15,emu,GSD,0.993344426,0.98677686,1
Fusarium_proliferatum,Mock2,Qmin15,emu,GSD,0.984606128,0.986749805,0.982471744
Fusarium_pseudograminearum,Mock2,Qmin15,emu,GSD,0.987502204,0.975312942,1
Geotrichum_candidum,Mock2,Qmin15,emu,GSD,0.995210709,1,0.990467073
Kluyveromyces_lactis,Mock2,Qmin15,emu,GSD,1,1,1
Kluyveromyces_marxianus,Mock2,Qmin15,emu,GSD,0.995259239,0.999325691,0.991225746
Kodamaea_ohmeri,Mock2,Qmin15,emu,GSD,0.991360691,0.982869379,1
Leptosphaeria_maculans,Mock2,Qmin15,emu,GSD,0.996924654,0.993868166,1
Penicillium_chrysogenum,Mock2,Qmin15,emu,GSD,0.946689939,0.968533669,0.925809779
Pichia_kudriavzevii,Mock2,Qmin15,emu,GSD,0.948176886,0.987155963,0.912159151
Pichia_membranifaciens,Mock2,Qmin15,emu,GSD,0.868989005,0.768329406,1
Puccinia_graminis_,Mock2,Qmin15,emu,GSD,0.999145543,0.998292544,1
Puccinia_striiformis_var_tritici,Mock2,Qmin15,emu,GSD,0.987610989,0.985892116,0.989335866
Puccinia_triticina,Mock2,Qmin15,emu,GSD,0.994542536,0.989776358,0.999354839
Pyrenophora_tritici-repentis,Mock2,Qmin15,emu,GSD,0.910454441,0.857967155,0.96978216
Quambalaria_cyanescens,Mock2,Qmin15,emu,GSD,0.98381877,0.968152866,1
Rhodotorula_mucilaginosa,Mock2,Qmin15,emu,GSD,0.996642686,0.995210728,0.99807877
Scedosporium_aurantiacum,Mock2,Qmin15,emu,GSD,0.983208955,0.966972477,1
Scedosporium_boydii,Mock2,Qmin15,emu,GSD,0.993053016,0.986201888,1
Sclerotinia_sclerotiorum,Mock2,Qmin15,emu,GSD,0.99315076,0.986394707,1
Sporisorium_scitamineum,Mock2,Qmin15,emu,GSD,0.961385893,0.925643015,1
Trichomonascus_ciferrii,Mock2,Qmin15,emu,GSD,0.986428848,0.973221117,1
Trichosporon_asahii,Mock2,Qmin15,emu,GSD,0.969144627,0.990997749,0.948234505
Tuber_brumale,Mock2,Qmin15,emu,GSD,0.985557902,0.993661628,0.977585284
Wickerhamomyces_anomalus,Mock2,Qmin15,emu,GSD,0.99270073,0.985507246,1
Yamadazyma_mexicana,Mock2,Qmin15,emu,GSD,0.996114896,0.997609943,0.994624323
Yamadazyma_scolyti,Mock2,Qmin15,emu,GSD,1,1,1
Yarrowia_lipolytica,Mock2,Qmin15,emu,GSD,0.948577268,0.995477671,0.905897307
Zymoseptoria_tritici,Mock2,Qmin15,emu,GSD,0.995854445,0.991743119,1
Aspergillus_flavus,Mock2,Qmin15,vtd,GSD,0.976787372,0.965137615,0.988721805
Aspergillus_fumigatus,Mock2,Qmin15,vtd,GSD,0.980832527,0.981782946,0.979883946
Asteroma_sp._CCL060,Mock2,Qmin15,vtd,GSD,0.995889003,0.99333675,0.998454405
Austropuccinia_psidii,Mock2,Qmin15,vtd,GSD,0.993132594,0.993132594,0.993132594
Blastobotrys_adeninivorans,Mock2,Qmin15,vtd,GSD,0.986983155,0.990776326,0.983218917
Blastobotrys_proliferans,Mock2,Qmin15,vtd,GSD,0.991720331,0.988990826,0.994464945
