Species,MockCommunity,MinimumSeqQuality,Database,Classifier,F1_score,Recall,Precision
Blastobotrys_proliferans,Mock1,Qmin15,GSD,vtd,0.994234144,0.9915,0.996983409
Botrytis_cinerea,Mock1,Qmin15,GSD,vtd,0.980195538,0.9775,0.982905983
Botrytis_fabae,Mock1,Qmin15,GSD,vtd,0.974626866,0.9795,0.96980198
Candida_boleticola,Mock1,Qmin15,GSD,vtd,0.984119107,0.9915,0.976847291
Candida_caryicola,Mock1,Qmin15,GSD,vtd,0.989954797,0.9855,0.99445005
Candida_catenulata,Mock1,Qmin15,GSD,vtd,0.992015968,0.994,0.990039841
Candida_dubliniensis,Mock1,Qmin15,GSD,vtd,0.979632889,0.974,0.98533131
Candida_glabrata,Mock1,Qmin15,GSD,vtd,0.928292047,0.89,0.970027248
Candida_metapsilosis,Mock1,Qmin15,GSD,vtd,0.970522665,0.9795,0.961708395
Candida_parapsilosis,Mock1,Qmin15,GSD,vtd,0.977,0.977,0.977
