MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Yarrowia_lipolytica,Mock3,Qmin15,aodp,GSD,0.944564435,0.987951807,0.904827586
Zymoseptoria_tritici,Mock3,Qmin15,aodp,GSD,0.994805195,0.991585761,0.998045603
Aspergillus_flavus,Mock3,Qmin15,dnabarcoder,GSD,0.786455759,0.768970517,0.804754679
Aspergillus_fumigatus,Mock3,Qmin15,dnabarcoder,GSD,0.706085455,0.549361988,0.987922705
Asteroma_sp._CCL060,Mock3,Qmin15,dnabarcoder,GSD,0.964677946,0.983656174,0.946418171
Austropuccinia_psidii,Mock3,Qmin15,dnabarcoder,GSD,0.982851986,0.977119785,0.988651838
Blastobotrys_adeninivorans,Mock3,Qmin15,dnabarcoder,GSD,0.992356039,0.990505256,0.994213751
Blastobotrys_proliferans,Mock3,Qmin15,dnabarcoder,GSD,0.966726297,0.992652461,0.942119944
Botrytis_cinerea,Mock3,Qmin15,dnabarcoder,GSD,0.658006613,0.676870748,0.640165441
Botrytis_fabae,Mock3,Qmin15,dnabarcoder,GSD,0.602581708,0.577064703,0.63045977
Candida_boleticola,Mock3,Qmin15,dnabarcoder,GSD,0.983028721,0.994715984,0.971612903
Candida_caryicola,Mock3,Qmin15,dnabarcoder,GSD,0.958664547,0.992592593,0.926979247
Candida_catenulata,Mock3,Qmin15,dnabarcoder,GSD,0.949104949,0.991202346,0.91043771
Candida_dubliniensis,Mock3,Qmin15,dnabarcoder,GSD,0.982132887,0.968612335,0.99603624
Candida_glabrata,Mock3,Qmin15,dnabarcoder,GSD,0.858528237,0.763571791,0.980456026
Candida_metapsilosis,Mock3,Qmin15,dnabarcoder,GSD,0.856115108,0.983471074,0.757961783
Candida_parapsilosis,Mock3,Qmin15,dnabarcoder,GSD,0.98944591,0.991538868,0.987361769
Candida_tropicalis,Mock3,Qmin15,dnabarcoder,GSD,0.984070796,0.992857143,0.975438596
Candida_zeylanoides,Mock3,Qmin15,dnabarcoder,GSD,0.967126193,0.98488121,0.95
Cortinarius_globuliformis,Mock3,Qmin15,dnabarcoder,GSD,0.938130281,0.890786749,0.990788716
Cryptococcus_gattii_VGI,Mock3,Qmin15,dnabarcoder,GSD,0.950074738,0.913218391,0.990031153
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,dnabarcoder,GSD,0.982827705,0.983390607,0.982265446
Cryptovalsa_ampelina,Mock3,Qmin15,dnabarcoder,GSD,0.963034549,0.993519442,0.934364744
Diaporthe_sp._CCL067,Mock3,Qmin15,dnabarcoder,GSD,0.993778848,0.99238477,0.995176849
Diplodia_seriata,Mock3,Qmin15,dnabarcoder,GSD,0.994927409,0.992323796,0.997544721
Entoleuca_sp._,Mock3,Qmin15,dnabarcoder,GSD,0.990027701,0.982407916,0.997766611
Erysiphe_necator,Mock3,Qmin15,dnabarcoder,GSD,0.97039897,0.949223668,0.992540588
Eutypa_lata,Mock3,Qmin15,dnabarcoder,GSD,0.990944373,0.982771261,0.999254566
Fusarium_proliferatum,Mock3,Qmin15,dnabarcoder,GSD,0.97687991,0.972296693,0.98150654
Fusarium_pseudograminearum,Mock3,Qmin15,dnabarcoder,GSD,0.971570397,0.970694319,0.972448058
Geotrichum_candidum,Mock3,Qmin15,dnabarcoder,GSD,0.993830846,0.991266376,0.996408619
Kluyveromyces_lactis,Mock3,Qmin15,dnabarcoder,GSD,0.985795455,0.996053104,0.975746924
Kluyveromyces_marxianus,Mock3,Qmin15,dnabarcoder,GSD,0.991650099,0.994417863,0.9888977
Kodamaea_ohmeri,Mock3,Qmin15,dnabarcoder,GSD,0.984487734,0.97989228,0.989126495
Leptosphaeria_maculans,Mock3,Qmin15,dnabarcoder,GSD,0.994699949,0.991479209,0.997941681
Penicillium_chrysogenum,Mock3,Qmin15,dnabarcoder,GSD,0.946843133,0.958699473,0.935276468
Pichia_kudriavzevii,Mock3,Qmin15,dnabarcoder,GSD,0.97816113,0.983757844,0.972627737
Pichia_membranifaciens,Mock3,Qmin15,dnabarcoder,GSD,0.865460595,0.765073529,0.996170416
Puccinia_graminis_,Mock3,Qmin15,dnabarcoder,GSD,0.9855251,0.976205003,0.995024876
Puccinia_striiformis_var_tritici,Mock3,Qmin15,dnabarcoder,GSD,0.98784605,0.979250335,0.996594005
Puccinia_triticina,Mock3,Qmin15,dnabarcoder,GSD,0.98690113,0.987432675,0.986370158
Pyrenophora_tritici-repentis,Mock3,Qmin15,dnabarcoder,GSD,0.917509728,0.863419993,0.97882939
Quambalaria_cyanescens,Mock3,Qmin15,dnabarcoder,GSD,0.980785653,0.970016892,0.9917962
Rhodotorula_mucilaginosa,Mock3,Qmin15,dnabarcoder,GSD,0.995348837,0.996378686,0.994321115
Scedosporium_aurantiacum,Mock3,Qmin15,dnabarcoder,GSD,0.973338639,0.953978159,0.993501219
Scedosporium_boydii,Mock3,Qmin15,dnabarcoder,GSD,0.985370951,0.979909941,0.99089317
Sclerotinia_sclerotiorum,Mock3,Qmin15,dnabarcoder,GSD,0.976040848,0.969188768,0.982990506
Sporisorium_scitamineum,Mock3,Qmin15,dnabarcoder,GSD,0.937570515,0.884356155,0.99759904
Trichomonascus_ciferrii,Mock3,Qmin15,dnabarcoder,GSD,0.980104712,0.963954686,0.996805112
Trichosporon_asahii,Mock3,Qmin15,dnabarcoder,GSD,0.981889378,0.989639862,0.974259349
Tuber_brumale,Mock3,Qmin15,dnabarcoder,GSD,0.976646248,0.988376598,0.965191071
Wickerhamomyces_anomalus,Mock3,Qmin15,dnabarcoder,GSD,0.98671875,0.985179407,0.988262911
Yamadazyma_mexicana,Mock3,Qmin15,dnabarcoder,GSD,0.992748846,0.992748846,0.992748846
Yamadazyma_scolyti,Mock3,Qmin15,dnabarcoder,GSD,0.985824742,0.998043053,0.973901973
Yarrowia_lipolytica,Mock3,Qmin15,dnabarcoder,GSD,0.939155333,0.987951807,0.894952251
Zymoseptoria_tritici,Mock3,Qmin15,dnabarcoder,GSD,0.991264963,0.991585761,0.990944373
Aspergillus_flavus,Mock3,Qmin15,emu,GSD,0.787355175,0.787934258,0.786776942
Aspergillus_fumigatus,Mock3,Qmin15,emu,GSD,0.717768393,0.559780612,1
Asteroma_sp._CCL060,Mock3,Qmin15,emu,GSD,0.994522215,0.989104116,1
Austropuccinia_psidii,Mock3,Qmin15,emu,GSD,0.992086819,0.984297891,1
Blastobotrys_adeninivorans,Mock3,Qmin15,emu,GSD,0.998131476,0.996269922,1
Blastobotrys_proliferans,Mock3,Qmin15,emu,GSD,1,1,1
Botrytis_cinerea,Mock3,Qmin15,emu,GSD,0.996099539,0.997570457,0.994632952
Botrytis_fabae,Mock3,Qmin15,emu,GSD,0.986673774,0.973698054,1
Candida_boleticola,Mock3,Qmin15,emu,GSD,0.977538474,0.964047983,0.991411883
Candida_caryicola,Mock3,Qmin15,emu,GSD,0.909417273,0.995884774,0.836765291
Candida_catenulata,Mock3,Qmin15,emu,GSD,0.981570943,0.997067449,0.966548761
Candida_dubliniensis,Mock3,Qmin15,emu,GSD,0.995008463,0.99006651,1
Candida_glabrata,Mock3,Qmin15,emu,GSD,0.856961247,0.771382914,0.963897416
Candida_metapsilosis,Mock3,Qmin15,emu,GSD,0.995852788,1,0.991739832
Candida_parapsilosis,Mock3,Qmin15,emu,GSD,0.993926541,0.998942359,0.988960843
Candida_tropicalis,Mock3,Qmin15,emu,GSD,0.997603648,0.995218753,1
Candida_zeylanoides,Mock3,Qmin15,emu,GSD,0.969702803,0.990279644,0.94996368
Cortinarius_globuliformis,Mock3,Qmin15,emu,GSD,0.925910424,0.866969491,0.993450146
Cryptococcus_gattii_VGI,Mock3,Qmin15,emu,GSD,0.958464437,0.928735632,0.990159416
Cryptococcus_neoformans_VNIII,Mock3,Qmin15,emu,GSD,0.975085196,0.993127148,0.957687078
Cryptovalsa_ampelina,Mock3,Qmin15,emu,GSD,1,1,1
Diaporthe_sp._CCL067,Mock3,Qmin15,emu,GSD,0.999197754,0.998396794,1
Diplodia_seriata,Mock3,Qmin15,emu,GSD,0.997376246,0.994766225,1
Entoleuca_sp._,Mock3,Qmin15,emu,GSD,0.993915929,0.987905443,1
Erysiphe_necator,Mock3,Qmin15,emu,GSD,0.975650424,0.957808703,0.994169462
Eutypa_lata,Mock3,Qmin15,emu,GSD,0.993172172,0.98643695,1
Fusarium_proliferatum,Mock3,Qmin15,emu,GSD,0.980410255,0.988382484,0.972565604
Fusarium_pseudograminearum,Mock3,Qmin15,emu,GSD,0.987635774,0.975573562,1
Geotrichum_candidum,Mock3,Qmin15,emu,GSD,0.994017244,0.998809051,0.989271194
Kluyveromyces_lactis,Mock3,Qmin15,emu,GSD,0.999819114,1,0.999638293
Kluyveromyces_marxianus,Mock3,Qmin15,emu,GSD,0.996981233,0.998405104,0.995561417
Kodamaea_ohmeri,Mock3,Qmin15,emu,GSD,0.992251084,0.985637343,0.998954182
Leptosphaeria_maculans,Mock3,Qmin15,emu,GSD,0.99795082,0.99591002,1
Penicillium_chrysogenum,Mock3,Qmin15,emu,GSD,0.969636586,0.964850615,0.974470273
Pichia_kudriavzevii,Mock3,Qmin15,emu,GSD,0.982418718,0.988556663,0.976356525
Pichia_membranifaciens,Mock3,Qmin15,emu,GSD,0.869492934,0.769117647,1
Puccinia_graminis_,Mock3,Qmin15,emu,GSD,0.999694843,0.999389872,1
Puccinia_striiformis_var_tritici,Mock3,Qmin15,emu,GSD,0.992883254,0.995314592,0.990463766
Puccinia_triticina,Mock3,Qmin15,emu,GSD,0.996215534,0.992459605,1
Pyrenophora_tritici-repentis,Mock3,Qmin15,emu,GSD,0.921173578,0.867081655,0.982463466
Quambalaria_cyanescens,Mock3,Qmin15,emu,GSD,0.986951872,0.974239865,1
Rhodotorula_mucilaginosa,Mock3,Qmin15,emu,GSD,0.998964267,0.997930678,1
Scedosporium_aurantiacum,Mock3,Qmin15,emu,GSD,0.985759494,0.971918877,1
Scedosporium_boydii,Mock3,Qmin15,emu,GSD,0.991617185,0.983373744,1
Sclerotinia_sclerotiorum,Mock3,Qmin15,emu,GSD,0.993703489,0.987485773,1
Sporisorium_scitamineum,Mock3,Qmin15,emu,GSD,0.952580084,0.909453859,1
Trichomonascus_ciferrii,Mock3,Qmin15,emu,GSD,0.984575163,0.96961895,1
Trichosporon_asahii,Mock3,Qmin15,emu,GSD,0.951745271,0.991613222,0.914959206
Tuber_brumale,Mock3,Qmin15,emu,GSD,0.97860546,0.993413406,0.964232488
Wickerhamomyces_anomalus,Mock3,Qmin15,emu,GSD,0.993720565,0.987519501,1
Yamadazyma_mexicana,Mock3,Qmin15,emu,GSD,0.999010228,0.998022413,1
Yamadazyma_scolyti,Mock3,Qmin15,emu,GSD,1,1,1
Yarrowia_lipolytica,Mock3,Qmin15,emu,GSD,0.947430937,0.995481928,0.903805102
Zymoseptoria_tritici,Mock3,Qmin15,emu,GSD,0.99707887,0.994174757,1
Aspergillus_flavus,Mock3,Qmin15,vuthuyduong,GSD,0.980190756,0.968583857,0.992079208
Aspergillus_fumigatus,Mock3,Qmin15,vuthuyduong,GSD,0.970970971,0.977165883,0.964854111
Asteroma_sp._CCL060,Mock3,Qmin15,vuthuyduong,GSD,0.99211165,0.989709443,0.994525547
Austropuccinia_psidii,Mock3,Qmin15,vuthuyduong,GSD,0.990352255,0.990130103,0.990574506
Blastobotrys_adeninivorans,Mock3,Qmin15,vuthuyduong,GSD,0.990835031,0.98982706,0.991845056
Blastobotrys_proliferans,Mock3,Qmin15,vuthuyduong,GSD,0.991917708,0.991917708,0.991917708
