MockSpecies,Mock,MinimumSeqQuality,Classifier,Database,F1_Score,Recall,Precision
Pichia_membranifaciens,Mock3,Qmin15,emu,NCBI,0.554313531,0.383425828,1
Quambalaria_cyanescens,Mock3,Qmin15,emu,NCBI,0.449718554,0.290088329,1
Rhodotorula_mucilaginosa,Mock3,Qmin15,emu,NCBI,0.845266125,0.732380798,0.999291695
Scedosporium_aurantiacum,Mock3,Qmin15,emu,NCBI,0.305524197,0.180306025,1
Trichomonascus_ciferrii,Mock3,Qmin15,emu,NCBI,0.085648261,0.044740086,1
Trichosporon_asahii,Mock3,Qmin15,emu,NCBI,0.826117883,0.703748588,1
Tuber_brumale,Mock3,Qmin15,emu,NCBI,0.169310549,0.092484582,1
Wickerhamomyces_anomalus,Mock3,Qmin15,emu,NCBI,0.287252401,0.167714379,1
Yamadazyma_mexicana,Mock3,Qmin15,emu,NCBI,0.966763715,0.935665665,1
Yamadazyma_scolyti,Mock3,Qmin15,emu,NCBI,0.971458491,0.944501008,1
Yarrowia_lipolytica,Mock3,Qmin15,emu,NCBI,0.705259687,0.580255105,0.898912827
Zymoseptoria_tritici,Mock3,Qmin15,emu,NCBI,0.97996839,0.960723551,1
Aspergillus_flavus,Mock3,Qmin17,minimap2,NCBI,0,0,0
Aspergillus_fumigatus,Mock3,Qmin17,minimap2,NCBI,0.012016021,0.006044325,1
Blastobotrys_adeninivorans,Mock3,Qmin17,minimap2,NCBI,0.975778547,0.956256358,0.996114447
Blastobotrys_proliferans,Mock3,Qmin17,minimap2,NCBI,0.860833333,0.759000735,0.994225217
Candida_boleticola,Mock3,Qmin17,minimap2,NCBI,0.854237288,0.749009247,0.993865031
Candida_caryicola,Mock3,Qmin17,minimap2,NCBI,0.382978723,0.237037037,0.996539792
Candida_catenulata,Mock3,Qmin17,minimap2,NCBI,0.235294118,0.133431085,0.994535519
Candida_dubliniensis,Mock3,Qmin17,minimap2,NCBI,0.914507,0.845264317,0.996106424
Candida_glabrata,Mock3,Qmin17,minimap2,NCBI,0.38609407,0.239472349,0.995780591
Candida_metapsilosis,Mock3,Qmin17,minimap2,NCBI,0,0,0
Candida_parapsilosis,Mock3,Qmin17,minimap2,NCBI,0.947018031,0.902696986,0.995915986
Candida_tropicalis,Mock3,Qmin17,minimap2,NCBI,0.898305085,0.820238095,0.992795389
